Athena IP : Projection UTM Zone 10N; Datum NAD83
Patch:   5753
Timing(ms)= 40:60,60:80,80:120,120:160,160:200,200:240,240:320,320:400,400:480,480:560,560:640,640:720,720:800,800:960,960:1120,1120:1280,1280:1440,1440:1600,1600:1760,1760:1920;Integration Window - 40:1920(ms)
Units: Vp = mV, Vs = mV, In = mA, Mx = mV/V, Rho = ohm-m
   RDG    DIPOLE     Status     a        TxFile      Tx1East     Tx1North      Tx1Elev         Tx1x         Tx1y      Tx2East     Tx2North      Tx2Elev        Rx1File      Rx1East     Rx1North      Rx1Elev         Rx1x         Rx1y        Rx2File      Rx2East     Rx2North      Rx2Elev         Rx2x         Rx2y      Contact         Vp         Vp_err           In       In_err          Rho       Rho_QC             k         Coupling      Stack      TimeBase       Mx   Mx_err    Mx_QC          M01         M02         M03         M04         M05         M06         M07         M08         M09         M10         M11         M12         M13         M14         M15         M16         M17         M18         M19         M20
   159        1     Good      204  DL000750.raw   650000.029  5596047.992     1245.191         6050        10000   649495.000  5590111.000     1413.000   QJ003724.raw   650498.168  5596051.419     1201.589         6050        10500   HW004176.raw   650702.000  5596051.580     1200.662         6050        10700        0.000       23.841        0.291     1535.723         0.27       169.03       Accept      10888.116         95.850          87          2000      4.0     0.00   Accept        0.363       0.318       0.271       0.228       0.206       0.190       0.161       0.137       0.123       0.111       0.099       0.090       0.083       0.075       0.065       0.059       0.055       0.051       0.048       0.045
   159        6     Good      200  DL000750.raw   650000.029  5596047.992     1245.191         6050        10000   649495.000  5590111.000     1413.000   OK002726.raw   650100.851  5596051.537     1227.292         6050        10100   XL000667.raw   650299.462  5596050.526     1199.955         6050        10300        0.000     1404.233        0.269     1535.723         0.27       889.75       Accept        973.062         60.826          87          2000      3.9     0.00   Accept       20.523      17.840      15.456      13.245      11.767      10.668       9.443       8.193       7.273       6.550       5.963       5.475       5.063       4.535       3.987       3.553       3.205       2.915       2.670       2.507
   159        7     Good      199  DL000750.raw   650000.029  5596047.992     1245.191         6050        10000   649495.000  5590111.000     1413.000   XL000667.raw   650299.462  5596050.526     1199.955         6050        10300   QJ003724.raw   650498.168  5596051.419     1201.589         6050        10500        0.000      131.153        0.233     1535.723         0.27       412.31       Accept       4827.924         87.328          87          2000      3.6     0.00   Accept        1.936       1.572       1.329       1.123       0.980       0.889       0.797       0.693       0.613       0.548       0.502       0.458       0.425       0.380       0.334       0.296       0.268       0.245       0.222       0.214
   161        1     Good      204  DL000752.raw   650206.579  5596044.984     1217.856         6050        10200   649495.000  5590111.000     1413.000   QJ003726.raw   650498.168  5596051.419     1201.589         6050        10500   HW004178.raw   650702.000  5596051.580     1200.662         6050        10700        0.000       34.195        1.005      925.231         0.59       165.25       Accept       4471.359         89.005          93          2000      3.7     0.00   Accept        0.537       0.427       0.372       0.315       0.267       0.249       0.217       0.181       0.167       0.154       0.129       0.123       0.115       0.099       0.081       0.075       0.073       0.067       0.062       0.060
   161        7     Good      199  DL000752.raw   650206.579  5596044.984     1217.856         6050        10200   649495.000  5590111.000     1413.000   XL000669.raw   650299.462  5596050.526     1199.955         6050        10300   QJ003726.raw   650498.168  5596051.419     1201.589         6050        10500        0.000      450.485        0.492      925.231         0.59       429.10       Accept        881.312         57.917          93          2000      2.6     0.00   Accept        4.565       3.940       3.368       2.869       2.550       2.293       2.035       1.769       1.563       1.397       1.278       1.178       1.084       0.975       0.859       0.760       0.680       0.615       0.564       0.527
   162        1     Good      204  DI003176.raw   649602.813  5596047.152     1294.218         6050         9600   649495.000  5590111.000     1413.000   QJ003727.raw   650498.168  5596051.419     1201.589         6050        10500   HW004179.raw   650702.000  5596051.580     1200.662         6050        10700        0.000        7.311        0.270     1408.628         0.26       160.30       Accept      30886.132         98.915          87          2000      3.9     0.00   Accept        0.123       0.110       0.091       0.070       0.063       0.060       0.046       0.038       0.033       0.032       0.030       0.027       0.025       0.023       0.021       0.016       0.014       0.014       0.016       0.015
   162        2     Good      210  DI003176.raw   649602.813  5596047.152     1294.218         6050         9600   649495.000  5590111.000     1413.000   NX002667.raw   649896.034  5596051.148     1271.743         6050         9900   OK002729.raw   650100.851  5596051.537     1227.292         6050        10100        0.000      163.787        0.245     1408.628         0.26       518.26       Accept       4457.247         90.825          87          2000      3.3     0.00   Accept        1.996       1.745       1.503       1.268       1.136       1.036       0.910       0.791       0.701       0.635       0.579       0.532       0.492       0.442       0.389       0.344       0.309       0.281       0.261       0.243
   162        3     Good      197  DI003176.raw   649602.813  5596047.152     1294.218         6050         9600   649495.000  5590111.000     1413.000   OY004304.raw   649700.800  5596045.592     1294.819         6050         9700   NX002667.raw   649896.034  5596051.148     1271.743         6050         9900        0.000     1140.725        0.217     1408.628         0.26       747.89       Accept        923.541         58.812          87          2000      3.4     0.00   Accept       14.496      12.617      10.932       9.368       8.329       7.552       6.686       5.800       5.148       4.638       4.221       3.873       3.581       3.204       2.811       2.497       2.247       2.042       1.869       1.751
   162        5     Good      200  DI003176.raw   649602.813  5596047.152     1294.218         6050         9600   649495.000  5590111.000     1413.000   OK002729.raw   650100.851  5596051.537     1227.292         6050        10100   XL000670.raw   650299.462  5596050.526     1199.955         6050        10300        0.000       87.918        0.245     1408.628         0.26       691.88       Accept      11085.366         94.728          87          2000      4.4     0.00   Accept        1.543       1.272       1.091       0.931       0.833       0.769       0.658       0.542       0.487       0.460       0.419       0.373       0.349       0.323       0.266       0.237       0.237       0.210       0.172       0.147
   162        6     Good      199  DI003176.raw   649602.813  5596047.152     1294.218         6050         9600   649495.000  5590111.000     1413.000   XL000670.raw   650299.462  5596050.526     1199.955         6050        10300   QJ003727.raw   650498.168  5596051.419     1201.589         6050        10500        0.000       23.143        0.260     1408.628         0.26       332.27       Accept      20223.917         95.357          87          2000      4.2     0.00   Accept        0.388       0.345       0.290       0.223       0.187       0.165       0.141       0.132       0.125       0.119       0.109       0.097       0.086       0.078       0.070       0.065       0.059       0.045       0.054       0.054
   163        1     Good      204  DL000754.raw   650406.803  5596049.591     1193.225         6050        10400   649495.000  5590111.000     1413.000   QJ003728.raw   650498.168  5596051.419     1201.589         6050        10500   HW004180.raw   650702.000  5596051.580     1200.662         6050        10700        0.000      374.442        0.407     1869.750         0.52       167.55       Accept        836.659         57.671          85          2000      3.7     0.00   Accept        5.032       4.463       3.879       3.307       2.938       2.649       2.353       2.042       1.812       1.637       1.487       1.361       1.253       1.129       0.993       0.883       0.805       0.743       0.682       0.634
