BHP : Projection UTM Zone 12N; Datum WGS84
Patch:   Cobre
Timing(ms)= 40:60,60:80,80:120,120:160,160:200,200:240,240:320,320:400,400:480,480:560,560:640,640:720,720:800,800:960,960:1120,1120:1280,1280:1440,1440:1600,1600:1760,1760:1920;Integration Window - 40:1920(ms)
Units: Vp = mV, Vs = mV, In = mA, Mx = mV/V, Rho = ohm-m
   RDG    DIPOLE     Status     a        TxFile      Tx1East     Tx1North      Tx1Elev         Tx1x         Tx1y      Tx2East     Tx2North      Tx2Elev        Rx1File      Rx1East     Rx1North      Rx1Elev         Rx1x         Rx1y        Rx2File      Rx2East     Rx2North      Rx2Elev         Rx2x         Rx2y      Contact         Vp         Vp_err           In       In_err          Rho       Rho_QC             k         Coupling      Stack      TimeBase       Mx   Mx_err    Mx_QC          M01         M02         M03         M04         M05         M06         M07         M08         M09         M10         M11         M12         M13         M14         M15         M16         M17         M18         M19         M20
    90        9     Good      828  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   AS000797.DAT   536413.000  3620543.000      788.000            1          450   VT001008.DAT   537194.000  3620815.000      818.000            1         1250        0.000       40.262        0.146     4318.706         0.10        65.30       Accept       7004.058        257.368         116          2000     -2.3     0.00   Accept       -5.138      -2.788      -1.414      -0.548      -0.223      -0.076      -0.001       0.044       0.058       0.065       0.066       0.064       0.063       0.062       0.050       0.039       0.044       0.047       0.040       0.030
    90       17     Good      820  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   SE003231.DAT   537682.000  3620980.000      832.000            1         1750   HU005441.DAT   538458.000  3621241.000      871.000            1         2550        0.000        4.241        1.302     4318.706         0.10        34.43       Accept      35057.151        370.411         116          2000    -13.6     0.00   Accept       -2.325      -1.217      -0.616      -0.253      -0.120      -0.059      -0.021       0.009       0.014       0.005      -0.006      -0.012      -0.009       0.003       0.018       0.022       0.017       0.002      -0.011      -0.012
    90       25     Good      826  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   IF005574.DAT   536901.000  3620714.000      802.000            1          950   SE003231.DAT   537682.000  3620980.000      832.000            1         1750        0.000       21.980        0.289     4318.706         0.10        71.70       Accept      14088.712        326.473         116          2000     -5.0     0.00   Accept       -5.254      -2.809      -1.433      -0.581      -0.264      -0.120      -0.046       0.001       0.022       0.039       0.053       0.056       0.056       0.045       0.026       0.023       0.033       0.037       0.037       0.026
    90       29     Good      826  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   II005079.DAT   538265.000  3621173.000      861.000            1         2350   RR005193.DAT   539045.000  3621442.000      889.000            1         3150        0.000        2.237        4.522     4318.706         0.10        29.80       Accept      57540.179        384.196         116          2000    -31.2     0.00   Accept       -2.723      -1.347      -0.700      -0.342      -0.167      -0.085       0.002       0.007      -0.044      -0.025      -0.024      -0.012       0.006       0.018       0.014      -0.001      -0.009       0.005       0.020       0.009
    90       30     Good      825  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   TE001821.DAT   537484.000  3620910.000      824.000            1         1550   II005079.DAT   538265.000  3621173.000      861.000            1         2350        0.000        6.109        1.958     4318.706         0.10        40.35       Accept      28526.725        365.479         116          2000    -10.1     0.00   Accept       -2.673      -1.397      -0.707      -0.293      -0.143      -0.074      -0.034      -0.002       0.011       0.016       0.020       0.021       0.023       0.015       0.011       0.018       0.018       0.005      -0.005      -0.002
    90       34     Good      824  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   IW004023.DAT   538167.000  3621145.000      858.000            1         2250   PP004429.DAT   538946.000  3621410.000      892.000            1         3050        0.000        2.441        2.222     4318.706         0.10        30.24       Accept      53495.267        382.092         116          2000    -21.6     0.00   Accept       -2.057      -1.044      -0.522      -0.213      -0.105      -0.057      -0.032      -0.014      -0.007      -0.010      -0.016      -0.013       0.003       0.014       0.010      -0.004      -0.011       0.008       0.020       0.001
    90       35     Good      824  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   XZ001288.DAT   537389.000  3620875.000      819.000            1         1450   IW004023.DAT   538167.000  3621145.000      858.000            1         2250        0.000        7.516        1.354     4318.706         0.10        44.69       Accept      25676.242        361.570         116          2000    -12.6     0.00   Accept       -4.234      -2.122      -1.043      -0.408      -0.190      -0.092      -0.039      -0.003       0.010       0.017       0.024       0.027       0.029       0.020       0.012       0.018       0.022       0.011       0.001       0.001
    90       51     Good      827  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   JH005949.DAT   536800.000  3620680.000      796.000            1          850   TN003851.DAT   537583.000  3620945.000      829.000            1         1650        0.000       26.439        0.221     4318.706         0.10        74.82       Accept      12220.983        315.746         116          2000     -3.9     0.00   Accept       -5.081      -2.781      -1.431      -0.579      -0.259      -0.113      -0.036       0.015       0.036       0.048       0.055       0.057       0.057       0.049       0.034       0.028       0.036       0.036       0.032       0.025
    90       56     Good      823  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   JY004019.DAT   536610.000  3620611.000      790.000            1          650   XZ001288.DAT   537389.000  3620875.000      819.000            1         1450        0.000       34.492        0.444     4318.706         0.10        73.70       Accept       9228.090        288.873         116          2000     -3.0     0.00   Accept       -5.323      -2.912      -1.493      -0.596      -0.256      -0.103      -0.025       0.024       0.042       0.051       0.055       0.057       0.057       0.055       0.046       0.036       0.040       0.044       0.041       0.032
    90       77     Good      821  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   X4001348.DAT   538071.000  3621112.000      854.000            1         2150   MS004553.DAT   538847.000  3621376.000      893.000            1         2950        0.000        2.712        2.137     4318.706         0.10        31.14       Accept      49591.872        379.549         116          2000    -21.7     0.00   Accept       -2.258      -1.147      -0.578      -0.244      -0.128      -0.074      -0.047      -0.024      -0.008      -0.004      -0.009      -0.009       0.004       0.018       0.017       0.002      -0.007       0.002       0.008      -0.000
    90       79     Good      823  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   WE001184.DAT   537874.000  3621041.000      844.000            1         1950   MT003425.DAT   538651.000  3621310.000      879.000            1         2750        0.000        3.173        1.825     4318.706         0.10        30.61       Accept      41663.230        377.225         116          2000    -21.1     0.00   Accept       -2.748      -1.386      -0.683      -0.266      -0.117      -0.048      -0.011       0.013       0.019       0.008      -0.010      -0.024      -0.022      -0.001       0.019       0.021       0.010      -0.005      -0.012      -0.011
    90       89     Good      827  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   MY002011.DAT   536703.000  3620641.000      792.000            1          750   TE001821.DAT   537484.000  3620910.000      824.000            1         1550        0.000       31.147        0.204     4318.706         0.10        75.80       Accept      10510.413        303.560         116          2000     -3.8     0.00   Accept       -5.815      -3.136      -1.598      -0.637      -0.278      -0.116      -0.033       0.018       0.037       0.047       0.056       0.060       0.062       0.058       0.042       0.028       0.034       0.037       0.036       0.030
    90      129     Good      824  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   XG000935.DAT   538364.000  3621205.000      863.000            1         2450   OW003630.DAT   539140.000  3621479.000      904.000            1         3250        0.000        2.094        2.663     4318.706         0.10        30.11       Accept      62089.485        384.457         116          2000    -17.8     0.00   Accept       -1.328      -0.724      -0.385      -0.179      -0.105      -0.066      -0.049      -0.035      -0.028      -0.026      -0.022      -0.005       0.022       0.037       0.028      -0.002      -0.023       0.002       0.022       0.010
    90      144     Good      823  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   QD003372.DAT   537095.000  3620776.000      813.000            1         1150   WE001184.DAT   537874.000  3621041.000      844.000            1         1950        0.000       15.374        0.458     4318.706         0.10        64.67       Accept      18166.797        342.893         116          2000     -6.1     0.00   Accept       -4.399      -2.332      -1.182      -0.477      -0.220      -0.104      -0.042      -0.001       0.017       0.030       0.041       0.047       0.047       0.033       0.018       0.023       0.030       0.028       0.022       0.016
    90      145     Good      818  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   Z2000746.DAT   536320.000  3620516.000      778.000            1          350   QD003372.DAT   537095.000  3620776.000      813.000            1         1150        0.000       39.250        0.140     4318.706         0.10        59.11       Accept       6503.998        236.890         116          2000     -1.8     0.00   Accept       -4.196      -2.317      -1.185      -0.464      -0.189      -0.065      -0.000       0.040       0.052       0.057       0.059       0.059       0.060       0.057       0.043       0.033       0.042       0.048       0.042       0.029
    90      149     Good      823  DL001787.DAT   536259.000  3619972.000      767.000            0          300   540804.000  3612100.000      786.000   SY001994.DAT   537973.000  3621074.000      845.000            1         2050   QR004153.DAT   538750.000  3621343.000      887.000            1         2850        0.000        2.943        2.165     4318.706         0.10        30.95       Accept      45415.946        379.324         116          2000    -18.4     0.00   Accept       -2.025      -1.068      -0.551      -0.239      -0.122      -0.069      -0.036      -0.007       0.007       0.005      -0.006      -0.012      -0.004       0.010       0.014       0.007       0.001      -0.002      -0.002      -0.005
