Athena IP : Projection UTM Zone 10N; Datum NAD83
Patch:   L4250
Timing(ms)= 40:60,60:80,80:120,120:160,160:200,200:240,240:320,320:400,400:480,480:560,560:640,640:720,720:800,800:960,960:1120,1120:1280,1280:1440,1440:1600,1600:1760,1760:1920;Integration Window - 40:1920(ms)
Units: Vp = mV, Vs = mV, In = mA, Mx = mV/V, Rho = ohm-m
   RDG    DIPOLE     Status     a        TxFile      Tx1East     Tx1North      Tx1Elev         Tx1x         Tx1y      Tx2East     Tx2North      Tx2Elev        Rx1File      Rx1East     Rx1North      Rx1Elev         Rx1x         Rx1y        Rx2File      Rx2East     Rx2North      Rx2Elev         Rx2x         Rx2y      Contact         Vp         Vp_err           In       In_err          Rho       Rho_QC             k         Coupling      Stack      TimeBase       Mx   Mx_err    Mx_QC         Vs01        Vs02        Vs03        Vs04        Vs05        Vs06        Vs07        Vs08        Vs09        Vs10        Vs11        Vs12        Vs13        Vs14        Vs15        Vs16        Vs17        Vs18        Vs19        Vs20
    81        1     Good      203  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   IE004339.DAT   648800.006  5594262.346     1300.947         4250         8800   NK004579.DAT   648599.489  5594258.243     1332.810         4250         8600        0.000      -17.612        0.000    -1605.396         0.00       896.36       Accept      81706.083         97.155          92          2000      5.1     0.00   Accept       -0.255      -0.255      -0.195      -0.186      -0.184      -0.166      -0.151      -0.122      -0.111      -0.103      -0.108      -0.100      -0.076      -0.081      -0.062      -0.067      -0.067      -0.043      -0.058      -0.052
    81        2     Good      210  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   NN004166.DAT   649004.373  5594235.967     1258.615         4250         9000   IE004339.DAT   648800.006  5594262.346     1300.947         4250         8800        0.000      -24.530        0.000    -1605.396         0.00       933.42       Accept      61088.725         98.886          92          2000      4.9     0.00   Accept       -0.324      -0.312      -0.270      -0.248      -0.241      -0.216      -0.199      -0.165      -0.162      -0.143      -0.134      -0.146      -0.107      -0.108      -0.091      -0.086      -0.085      -0.061      -0.067      -0.067
    81        3     Good      202  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   JD005522.DAT   650198.711  5594250.192     1169.603         4250        10200   IF004630.DAT   650400.235  5594249.162     1153.252         4250        10400        0.000      140.575        0.000    -1605.396         0.00    256141.39       Accept    2925188.437          0.011          92          2000      4.3     0.00   Accept        2.076       1.890       1.654       1.449       1.301       1.187       1.046       0.914       0.812       0.738       0.670       0.616       0.566       0.504       0.437       0.389       0.352       0.309       0.292       0.267
    81        4     Good      201  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   IF004630.DAT   650400.235  5594249.162     1153.252         4250        10400   XL000589.DAT   650600.501  5594247.423     1137.749         4250        10600        0.000     -452.636        0.000    -1615.161         0.00       267.70       Accept        955.247         60.448          96          2000      3.9     0.00   Accept       -5.918      -5.356      -4.701      -4.116      -3.687      -3.368      -2.989      -2.625      -2.350      -2.122      -1.922      -1.748      -1.642      -1.464      -1.287      -1.141      -1.026      -0.942      -0.849      -0.781
    81        5     Good      201  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   JD005522.DAT   650198.711  5594250.192     1169.603         4250        10200   IM003979.DAT   649998.506  5594250.055     1186.273         4250        10000        0.000     -357.060        0.000    -1605.396         0.00       212.31       Accept        954.590         60.491          92          2000      3.8     0.00   Accept       -4.485      -4.079      -3.577      -3.143      -2.826      -2.585      -2.301      -2.017      -1.816      -1.631      -1.478      -1.371      -1.263      -1.141      -1.006      -0.899      -0.810      -0.731      -0.669      -0.622
    81        6     Good      198  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   IM003979.DAT   649998.506  5594250.055     1186.273         4250        10000   VJ000075.DAT   649801.394  5594253.342     1203.853         4250         9800        0.000     -119.891        0.000    -1615.161         0.00       355.51       Accept       4789.348         87.652          96          2000      4.3     0.00   Accept       -1.583      -1.409      -1.294      -1.153      -1.052      -0.962      -0.858      -0.772      -0.690      -0.629      -0.582      -0.544      -0.488      -0.448      -0.399      -0.359      -0.324      -0.288      -0.280      -0.256
    81        7     Good      202  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   NK004579.DAT   648599.489  5594258.243     1332.810         4250         8600   MT002652.DAT   648397.950  5594247.329     1346.191         4250         8400        0.000      -24.897        0.000    -1605.396         0.00      1628.36       Accept     104998.790         95.535          92          2000      6.0     0.00   Accept       -0.399      -0.399      -0.339      -0.299      -0.301      -0.258      -0.245      -0.203      -0.199      -0.177      -0.160      -0.197      -0.130      -0.130      -0.110      -0.110      -0.104      -0.075      -0.078      -0.090
    81        8     Good      195  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   PZ004487.DAT   649198.452  5594249.360     1248.885         4250         9200   NN004166.DAT   649004.373  5594235.967     1258.615         4250         9000        0.000      -33.867        0.000    -1605.396         0.00       980.46       Accept      46476.580         95.379          92          2000      4.8     0.00   Accept       -0.427      -0.421      -0.374      -0.340      -0.328      -0.301      -0.255      -0.238      -0.210      -0.196      -0.182      -0.176      -0.158      -0.143      -0.121      -0.114      -0.110      -0.086      -0.094      -0.088
    81        9     Good      200  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   OX004110.DAT   650799.873  5594249.677     1153.511         4250        10800   PK002496.DAT   650999.710  5594250.506     1166.985         4250        11000        0.000      -85.953        0.000    -1605.396         0.00       593.55       Accept      11086.068         93.945          92          2000      3.7     0.00   Accept       -1.104      -0.940      -0.863      -0.754      -0.666      -0.602      -0.537      -0.485      -0.420      -0.390      -0.343      -0.305      -0.297      -0.257      -0.241      -0.206      -0.180      -0.183      -0.151      -0.131
    81       10     Good      200  DL000684.raw   650299.473  5594249.677     1161.428         4250        10300   649495.000  5590111.000     1413.000   XL000589.DAT   650600.501  5594247.423     1137.749         4250        10600   OX004110.DAT   650799.873  5594249.677     1153.511         4250        10800        0.000     -195.119        0.000    -1605.396         0.00       582.75       Accept       4794.734         87.596          92          2000      4.0     0.00   Accept       -2.542      -2.307      -2.050      -1.802      -1.602      -1.487      -1.314      -1.163      -1.045      -0.935      -0.854      -0.768      -0.747      -0.655      -0.582      -0.512      -0.457      -0.432      -0.382      -0.349
